scenario,year,month,period,arrivals_forecast,revenue_usd_mn,revenue_lkr_mn,tourist_nights_mn,rpt_adj,rpt_nominal,los_pred,mix_factor,usd_lkr_pred,usd_lkr_lower,usd_lkr_upper,rev_usd_hotels_mn,rev_usd_travel_agencies_mn,rev_usd_shops_mn,rev_usd_banks_mn,rev_usd_gem_corp_mn
Baseline,2028,12,2028-12,268449.11372027744,348.25456624853945,105139.67701884269,2.468645876559359,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.9046617289936,250.0,383.9233286991074,202.78863392652454,37.228413131968864,43.00943893169462,51.08894486866073,14.104309933065847
Baseline,2029,1,2029-01,301078.3718136738,374.330181499919,113012.0254966031,2.8113517730563227,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90465819178826,250.0,384.63450383572774,217.97246468740283,40.01589640234134,46.229777415239994,54.914237626038116,15.16037235074672
Baseline,2029,2,2029-02,272454.4582980207,338.7421228924299,102267.82386843942,2.5440728930448313,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90465536202396,250.0,385.3846632368578,197.24953816026195,36.21153293720076,41.83465217721509,49.69346942831947,13.719055977143412
Baseline,2029,3,2029-03,301393.39702286356,374.7218517584722,113130.27066346139,2.8142933549277735,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.9046530982126,250.0,390.90885482424136,218.20053427895837,40.05776595298068,46.27814869217132,54.971695652967874,15.176234996218126
Baseline,2029,4,2029-04,291086.39189989946,361.9071713974815,109261.45837908033,2.7180505828123516,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.9046512871634,250.0,383.87453608073315,210.73854590475347,38.68787662239077,44.69553566758896,53.09178204401053,14.657240441598
Baseline,2029,5,2029-05,300157.05218548625,373.1847065142487,112666.198145202,2.8027488516486714,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.9046498383241,250.0,395.6123931352406,217.30545460324703,39.89344512637319,46.08831125450972,54.74619644564029,15.113980613827074
Baseline,2029,6,2029-06,290397.46791783546,361.05063348779316,109002.86465855381,2.711617680818065,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90464867925266,250.0,388.45345795090736,210.23978387994197,38.59631271984509,44.58975323574246,52.966127932659255,14.622550656255624
Baseline,2029,7,2029-07,300121.93462118314,373.14104491165597,112653.01572586501,2.802420937603985,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90464775199547,250.0,387.5572289147021,217.28003045205728,39.88877770105602,46.08291904658951,54.73979128853993,15.112212318922067
Baseline,2029,8,2029-08,300187.0054020977,373.22194729293085,112677.44025392794,2.803028543039727,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90464701018976,250.0,383.88816521587444,217.32713990867364,39.897426165614306,46.09291049067696,54.75165966787296,15.1154888653637
Baseline,2029,9,2029-09,290805.4513854746,361.5578785767391,109156.00349089892,2.7154272704548617,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.9046464167452,250.0,393.549469984712,210.53515269523518,38.650537219853405,44.65239800422728,53.040540787207625,14.643094082357933
